Designator,Comment,Footprint,JLCPCB Part #,Matches,Part #,Manufacturer,Footprint (Matched),Description,Category,Warning,JLCPCB Part # (Matched),Product Link,Lib Type,Qty,Source,Total Price ($)
U14,TPS2116DRLR,SOT-583-8_L2.1-W1.6-P0.50-LS1.6-BL,,Select by System,TPS2116DRLR,Texas Instruments,SOT-583,Operating status indication SOT-583 Power Management - Specialized ROHS,Power Distribution Switches,,C3235557,https://jlcpcb.com/partdetail/TexasInstruments-TPS2116DRLR/C3235557,Extended,5,5 JLCPCB,2.2635
U19,TS3USB221,UQFN-10_L2.0-W1.5-P0.50-BL,,Select by Customer,TS3USB221RSER,Texas Instruments,UQFN-10(1.5x2),-40℃~+85℃ 1.1GHz 10ns 17ns 2.3V~3.6V 250ps 6pF 6Ω USB UQFN-10(1.5x2) Analog Switches - Special Purpose ROHS,Analog Switches - Special Purpose,,C130085,https://jlcpcb.com/partdetail/TexasInstruments-TS3USB221RSER/C130085,Extended,5,5 JLCPCB,1.8545
U20,12MHz,CRYSTAL-SMD_4P-L2.5-W2.0-BL_XTAL12MHZ,,Select by System,ABM10AIG-12.000MHZ-4Z-T3,Abracon LLC,SMD2520-4P,-40℃~+125℃ 10pF 12MHz 150Ω ±30ppm ±50ppm SMD2520-4P Crystals ROHS,Crystals,,C1985574,https://jlcpcb.com/partdetail/AbraconLLC-ABM10AIG_12_000MHZ_4ZT3/C1985574,Extended,5,5 JLCPCB,2.9745
"USB1,USB6",TYPE-C16PIN2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,,Select by System,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,"-25℃~+85℃ 1 16P 3A 5,000 times 5V Black Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",USB Connectors,,C2765186,https://jlcpcb.com/partdetail/SHOUHAN-TYPE_C_16PIN_2MD_073/C2765186,Extended,11,11 JLCPCB,0.8118
"USB2,USB3,USB4,USB5",10.0QHHTZB6.3,USB-A-TH_10.0QHHTZB6.3,,Select by Customer,10.0 QHHTZB6.3,SHOU HAN,SMD,"-25℃~+85℃ 1 1.5A 10mm 30V 4P 5,000 times Black Female Surface Mount, Right Angle Type-A USB 2.0 SMD USB Connectors ROHS",USB Connectors,,C668591,https://jlcpcb.com/partdetail/SHOUHAN-10_0_QHHTZB63/C668591,Extended,22,22 JLCPCB,1.4586

Cost Summary
Extended Components Fee,,,,,,,,,,,,,,,,36.84
SMT Assembly,,,,,,,,,,,,,,,,1.77
Hand-soldering labor fee,,,,,,,,,,,,,,,,3.58
Manual Assembly,,,,,,,,,,,,,,,,1.23
Special components fee,,,,,,,,,,,,,,,0.66
PCB Price,,,,,,,,,,,,,,,,7.0
Shipping Estimated,,,,,,,,,,,,,,,28.82
Total Price,,,,,,,,,,,,,,,131.45
